ID,xmlid,type,label,uri
139,p59_3,paragraph,"59,3",https://digitalzibaldone.net/paragraph/p59_3
140,p59_4,paragraph,"59,4",https://digitalzibaldone.net/paragraph/p59_4
141,p60_1,paragraph,"60,1",https://digitalzibaldone.net/paragraph/p60_1
142,p60_2,paragraph,"60,2",https://digitalzibaldone.net/paragraph/p60_2
143,p60_3,paragraph,"60,3",https://digitalzibaldone.net/paragraph/p60_3
144,p61_1,paragraph,"61,1",https://digitalzibaldone.net/paragraph/p61_1
145,p62_1,paragraph,"62,1",https://digitalzibaldone.net/paragraph/p62_1
146,p62_2,paragraph,"62,2",https://digitalzibaldone.net/paragraph/p62_2
147,p62_3,paragraph,"62,3",https://digitalzibaldone.net/paragraph/p62_3
148,p63_1,paragraph,"63,1",https://digitalzibaldone.net/paragraph/p63_1
149,p63_2,paragraph,"63,2",https://digitalzibaldone.net/paragraph/p63_2
150,p63_3,paragraph,"63,3",https://digitalzibaldone.net/paragraph/p63_3
151,p63_4,paragraph,"63,4",https://digitalzibaldone.net/paragraph/p63_4
152,p64_1,paragraph,"64,1",https://digitalzibaldone.net/paragraph/p64_1
153,p64_2,paragraph,"64,2",https://digitalzibaldone.net/paragraph/p64_2
154,p64_3,paragraph,"64,3",https://digitalzibaldone.net/paragraph/p64_3
155,p65_1,paragraph,"65,1",https://digitalzibaldone.net/paragraph/p65_1
156,p66_1,paragraph,"66,1",https://digitalzibaldone.net/paragraph/p66_1
157,p66_2,paragraph,"66,2",https://digitalzibaldone.net/paragraph/p66_2
158,p66_3,paragraph,"66,3",https://digitalzibaldone.net/paragraph/p66_3
159,p67_1,paragraph,"67,1",https://digitalzibaldone.net/paragraph/p67_1
160,p67_2,paragraph,"67,2",https://digitalzibaldone.net/paragraph/p67_2
161,p67_3,paragraph,"67,3",https://digitalzibaldone.net/paragraph/p67_3
162,p67_4,paragraph,"67,4",https://digitalzibaldone.net/paragraph/p67_4
163,p68_1,paragraph,"68,1",https://digitalzibaldone.net/paragraph/p68_1
164,p68_2,paragraph,"68,2",https://digitalzibaldone.net/paragraph/p68_2
165,p68_3,paragraph,"68,3",https://digitalzibaldone.net/paragraph/p68_3
166,p69_1,paragraph,"69,1",https://digitalzibaldone.net/paragraph/p69_1
167,p69_2,paragraph,"69,2",https://digitalzibaldone.net/paragraph/p69_2
168,p69_3,paragraph,"69,3",https://digitalzibaldone.net/paragraph/p69_3
169,p69_4,paragraph,"69,4",https://digitalzibaldone.net/paragraph/p69_4
170,p69_5,paragraph,"69,5",https://digitalzibaldone.net/paragraph/p69_5
171,p69_6,paragraph,"69,6",https://digitalzibaldone.net/paragraph/p69_6
172,p70_1,paragraph,"70,1",https://digitalzibaldone.net/paragraph/p70_1
173,p70_2,paragraph,"70,2",https://digitalzibaldone.net/paragraph/p70_2
174,p71_1,paragraph,"71,1",https://digitalzibaldone.net/paragraph/p71_1
175,p71_2,paragraph,"71,2",https://digitalzibaldone.net/paragraph/p71_2
